Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
3764,Data Tech Solutions,Influencer,Men 18-24,15 days,Instagram,4.178305581,7159,-11.3,San Francisco,English,1270,34156,5,Outdoor Adventurers,07-03-2023
3765,NexGen Systems,Email,Women 25-34,30 days,Facebook,3.4844656,8486,-57.46,Miami,Spanish,722,21908,4,Health & Wellness,07-03-2023
3766,NexGen Systems,Influencer,Men 18-24,30 days,Instagram,3.1944656,2121,418.39,Dallas,German,2199,73082,4,Health & Wellness,07-03-2023
3767,Innovate Industries,Search,Women 25-34,30 days,Facebook,4.5744656,8218,105.28,San Francisco,German,3374,76876,5,Fashionistas,07-03-2023
3768,Innovate Industries,Email,Women 25-34,30 days,Website,3.7044656,7365,56.01,Seattle,Mandarin,2298,65312,4,Foodies,07-03-2023
3769,Data Tech Solutions,Search,All Ages,45 days,YouTube,4.421297688,6448,-26.18,Chicago,English,952,30819,5,Foodies,07-03-2023
3770,NexGen Systems,Search,Women 25-34,60 days,Website,3.5544656,1260,908.73,Chicago,French,2542,75449,4,Foodies,07-03-2023
3771,Alpha Innovations,Search,Women 35-44,60 days,Email,5.51583037,6499,56.41,Houston,English,2033,41408,5,Fashionistas,07-03-2023
3772,Innovate Industries,Search,Women 25-34,15 days,Google Ads,5.893146704,7305,90.69,New York,English,2786,64065,4,Tech Enthusiasts,07-03-2023
3773,Data Tech Solutions,Social Media,All Ages,30 days,Website,4.873016873,6520,139.03,Los Angeles,English,3117,64687,8,Tech Enthusiasts,07-03-2023
3774,NexGen Systems,Search,Men 25-34,45 days,Email,3.7344656,7510,6.39,Atlanta,French,1598,45022,5,Tech Enthusiasts,07-03-2023
3775,Alpha Innovations,Influencer,Women 25-34,45 days,Instagram,5.3044656,1370,997.45,Houston,Spanish,3007,58745,5,Fashionistas,07-03-2023
3776,Innovate Industries,Search,Women 35-44,15 days,Google Ads,4.3144656,5582,203.57,Chicago,Spanish,3389,82062,5,Fashionistas,07-03-2023
3777,TechCorp,Social Media,Women 35-44,15 days,Website,4.794857082,6548,23.78,Seattle,English,1621,34068,8,Foodies,07-03-2023
3778,TechCorp,Social Media,Women 35-44,30 days,Facebook,5.8844656,6586,220.3,Los Angeles,French,4219,74024,5,Foodies,07-03-2023
3779,Data Tech Solutions,Search,Men 25-34,30 days,Website,5.465605827,3395,152.43,Dallas,English,1714,56016,4,Outdoor Adventurers,07-03-2023
3780,Data Tech Solutions,Social Media,All Ages,15 days,Website,4.6044656,4349,336.65,Dallas,Spanish,3798,85939,5,Outdoor Adventurers,07-03-2023
3781,Innovate Industries,Influencer,Women 25-34,15 days,YouTube,4.748989173,9609,227.51,Chicago,English,6294,95802,4,Health & Wellness,07-03-2023
3782,NexGen Systems,Influencer,Women 35-44,45 days,Facebook,6.9944656,7777,-38.41,Los Angeles,Spanish,958,14076,4,Foodies,07-03-2023
3783,Alpha Innovations,Influencer,All Ages,60 days,Google Ads,4.657428597,7545,128.96,Seattle,English,3455,85962,5,Foodies,07-03-2023
3784,TechCorp,Email,Men 25-34,60 days,Google Ads,4.4644656,2880,467.53,Miami,French,3269,76397,5,Fashionistas,07-03-2023
3785,Innovate Industries,Influencer,Men 25-34,45 days,Email,6.8644656,9993,-32.15,Atlanta,German,1356,20305,5,Tech Enthusiasts,07-03-2023
3786,Data Tech Solutions,Display,Men 25-34,15 days,Google Ads,4.9244656,7458,-18.41,"Washington, D.C.",Mandarin,1217,25678,4,Fashionistas,07-03-2023
3787,NexGen Systems,Email,Men 25-34,30 days,Email,5.738633402,8858,29.09,New York,English,2287,37252,4,Tech Enthusiasts,07-03-2023
3788,Innovate Industries,Social Media,Men 25-34,30 days,YouTube,4.5844656,3016,523.51,Houston,Spanish,3761,85496,8,Tech Enthusiasts,07-03-2023
3789,Innovate Industries,Social Media,Men 18-24,30 days,Email,5.7144656,6522,99.94,Miami,German,2608,47163,8,Fashionistas,07-03-2023
3790,Alpha Innovations,Display,Women 25-34,30 days,Website,5.711945111,9024,-36.11,Dallas,English,1153,20790,5,Health & Wellness,07-03-2023
3791,Alpha Innovations,Email,Women 25-34,45 days,Instagram,4.9444656,5748,289.18,Miami,Mandarin,4474,94008,4,Outdoor Adventurers,07-03-2023
3792,NexGen Systems,Influencer,Women 25-34,30 days,Facebook,5.1344656,8641,-59.5,Los Angeles,Spanish,700,14149,5,Foodies,07-03-2023
3793,TechCorp,Email,Women 35-44,30 days,Instagram,4.0344656,8798,86.24,New York,German,3277,85121,4,Fashionistas,07-03-2023
3794,TechCorp,Display,Women 35-44,30 days,Facebook,3.6644656,8698,62.11,Miami,French,2820,81051,5,Tech Enthusiasts,07-03-2023
3795,TechCorp,Influencer,All Ages,30 days,Facebook,3.8544656,6265,-19.31,Miami,French,1011,27567,5,Tech Enthusiasts,07-03-2023
3796,TechCorp,Search,Women 25-34,60 days,Instagram,3.5644656,8128,-13.14,San Francisco,German,1412,41790,5,Outdoor Adventurers,07-03-2023
3797,Alpha Innovations,Social Media,Men 18-24,60 days,Google Ads,3.5944656,8044,-73.71,Atlanta,French,423,12413,5,Health & Wellness,07-03-2023
3798,Alpha Innovations,Search,All Ages,15 days,Instagram,3.9944656,1147,0.26,"Washington, D.C.",German,230,6037,5,Tech Enthusiasts,07-03-2023
3799,Innovate Industries,Search,Women 25-34,30 days,Facebook,3.8344656,1727,770.87,Houston,German,3008,82433,4,Health & Wellness,07-03-2023
3800,Innovate Industries,Search,Men 25-34,15 days,YouTube,5.521564744,2598,-82.29,Chicago,English,92,2177,4,Health & Wellness,07-03-2023
3801,TechCorp,Email,Men 18-24,15 days,Google Ads,3.3244656,2379,172.59,New York,Spanish,1297,41325,4,Health & Wellness,07-03-2023
3802,Innovate Industries,Email,Women 25-34,15 days,YouTube,4.5444656,7279,-62.49,Los Angeles,German,546,12540,5,Health & Wellness,07-03-2023
3803,Innovate Industries,Influencer,Women 25-34,45 days,Website,3.6844656,3492,-43.16,Chicago,French,397,11347,4,Health & Wellness,07-03-2023
3804,Alpha Innovations,Social Media,Men 25-34,30 days,Email,3.7044656,9176,-33.25,Dallas,Mandarin,1225,34829,5,Outdoor Adventurers,07-03-2023
3805,Innovate Industries,Social Media,Men 25-34,30 days,Email,5.863724661,9468,62.86,Seattle,English,3084,84056,8,Tech Enthusiasts,07-03-2023
3806,Data Tech Solutions,Display,All Ages,15 days,Website,5.594943802,1959,995.71,Miami,English,4293,73387,5,Foodies,07-03-2023
3807,Innovate Industries,Influencer,Women 25-34,15 days,Email,4.518519857,7016,-57.17,Miami,English,601,12159,5,Fashionistas,07-03-2023
3808,Data Tech Solutions,Search,All Ages,30 days,Instagram,6.0744656,7890,180.1,Atlanta,Spanish,4420,75047,4,Fashionistas,07-03-2023
3809,Innovate Industries,Email,Women 25-34,30 days,Website,5.083373761,7029,85.59,Miami,English,2609,45153,4,Tech Enthusiasts,07-03-2023
3810,Innovate Industries,Search,Men 25-34,60 days,Google Ads,6.1144656,3321,236.95,Houston,French,2238,37741,5,Fashionistas,07-03-2023
3811,Alpha Innovations,Email,Men 25-34,15 days,Instagram,4.9844656,7891,135.52,New York,French,3717,77455,4,Foodies,07-03-2023
3812,Alpha Innovations,Email,Men 18-24,30 days,Google Ads,4.089982529,4202,10.19,Houston,English,926,28170,4,Fashionistas,07-03-2023
3813,TechCorp,Social Media,Women 25-34,15 days,Facebook,5.9844656,7303,256.91,"Washington, D.C.",Mandarin,5213,89881,8,Tech Enthusiasts,07-03-2023
3814,Innovate Industries,Search,All Ages,30 days,Facebook,5.870725687,9026,156.48,Houston,English,4630,91694,5,Tech Enthusiasts,07-03-2023
3815,TechCorp,Social Media,Women 35-44,30 days,Instagram,4.6944656,4957,316.68,Seattle,Spanish,4131,91598,8,Health & Wellness,07-03-2023
3816,NexGen Systems,Display,Men 25-34,45 days,Instagram,5.3944656,1927,711.36,Houston,Spanish,3127,60021,4,Foodies,07-03-2023
3817,Data Tech Solutions,Social Media,Women 35-44,30 days,Website,5.850910211,7404,104.75,New York,English,3032,71191,5,Tech Enthusiasts,07-03-2023
3818,Data Tech Solutions,Display,Women 25-34,30 days,Google Ads,5.0844656,5379,289.94,"Washington, D.C.",Spanish,4195,85630,5,Fashionistas,07-03-2023
3819,Data Tech Solutions,Social Media,Women 25-34,30 days,Instagram,5.9244656,5296,76.93,Miami,French,1874,32655,8,Outdoor Adventurers,07-03-2023
3820,Innovate Industries,Social Media,Women 35-44,15 days,YouTube,4.65493625,1526,1113.3,Atlanta,English,3703,64417,5,Foodies,07-03-2023
3821,Innovate Industries,Display,Men 25-34,45 days,Instagram,4.7244656,9049,-40.21,Miami,German,1082,23843,4,Tech Enthusiasts,07-03-2023
3822,Data Tech Solutions,Display,Men 25-34,30 days,Website,4.572922519,9623,-74.49,Seattle,French,491,11870,5,Tech Enthusiasts,08-03-2023
3823,Alpha Innovations,Display,Men 25-34,15 days,YouTube,4.422922519,4842,73.38,"Washington, D.C.",Spanish,1679,42082,5,Fashionistas,08-03-2023
3824,Data Tech Solutions,Display,Women 35-44,45 days,Facebook,2.542922519,2839,-45.93,Atlanta,German,307,14580,5,Health & Wellness,08-03-2023
3825,Data Tech Solutions,Influencer,Women 25-34,60 days,Facebook,4.905531627,6296,115.85,San Francisco,English,2718,81399,4,Fashionistas,08-03-2023
3826,NexGen Systems,Search,Men 25-34,30 days,Email,4.542922519,5493,255.73,Chicago,Spanish,3908,95097,4,Health & Wellness,08-03-2023
3827,TechCorp,Social Media,All Ages,45 days,Website,4.512922519,5107,-26.96,Dallas,Mandarin,746,18297,8,Outdoor Adventurers,08-03-2023
3828,Innovate Industries,Search,All Ages,15 days,Website,4.13265491,5238,81.18,Chicago,English,1898,86284,4,Health & Wellness,08-03-2023
3829,TechCorp,Influencer,Men 25-34,15 days,Google Ads,3.872922519,7573,-8.03,"Washington, D.C.",Spanish,1393,40508,5,Foodies,08-03-2023
3830,Innovate Industries,Email,All Ages,15 days,Instagram,4.672922519,2555,-21.53,Seattle,Spanish,401,9464,5,Fashionistas,08-03-2023
3831,Data Tech Solutions,Email,All Ages,45 days,Instagram,5.792045244,5541,92.02,Dallas,English,2128,48488,5,Fashionistas,08-03-2023
3832,Innovate Industries,Email,Women 35-44,15 days,Google Ads,4.812922519,2411,117.54,Los Angeles,German,1049,23952,4,Fashionistas,08-03-2023
3833,Data Tech Solutions,Email,Men 18-24,15 days,Facebook,3.262922519,1443,797.78,Seattle,Mandarin,2591,91562,4,Foodies,08-03-2023
3834,NexGen Systems,Influencer,Men 25-34,30 days,Google Ads,5.859479755,8284,66.28,Chicago,English,2755,75290,4,Foodies,08-03-2023
3835,NexGen Systems,Influencer,Women 35-44,15 days,YouTube,4.282922519,2146,671.44,Los Angeles,Spanish,3311,86011,4,Foodies,08-03-2023
3836,TechCorp,Influencer,Men 25-34,30 days,Instagram,4.442922519,7058,141.36,Los Angeles,Spanish,3407,84976,5,Outdoor Adventurers,08-03-2023
3837,TechCorp,Social Media,Women 35-44,45 days,Google Ads,4.011857239,6099,102.25,San Francisco,English,2467,78569,5,Fashionistas,08-03-2023
3838,Alpha Innovations,Influencer,All Ages,45 days,YouTube,4.51804339,9983,85.16,"Washington, D.C.",English,3697,71788,5,Outdoor Adventurers,08-03-2023
3839,NexGen Systems,Search,Men 25-34,30 days,Facebook,4.132922519,3234,190.04,San Francisco,Mandarin,1876,50717,5,Outdoor Adventurers,08-03-2023
3840,TechCorp,Display,Men 25-34,60 days,YouTube,3.532922519,7775,64.5,Seattle,French,2558,82540,4,Health & Wellness,08-03-2023
3841,TechCorp,Display,Women 25-34,45 days,Facebook,5.445784487,1829,450.3,Miami,English,2013,39721,5,Fashionistas,08-03-2023
3842,Data Tech Solutions,Social Media,Men 25-34,45 days,Instagram,5.412922519,5384,34.75,Chicago,French,1451,29146,8,Health & Wellness,08-03-2023
3843,Alpha Innovations,Social Media,Men 25-34,30 days,Website,5.286212769,8713,127.36,Dallas,English,3962,97364,8,Tech Enthusiasts,08-03-2023
3844,Data Tech Solutions,Search,Men 18-24,60 days,Facebook,4.662922519,5278,73.83,San Francisco,German,1835,43400,5,Outdoor Adventurers,08-03-2023
3845,TechCorp,Display,Women 35-44,15 days,Website,5.302922519,1659,30.2,"Washington, D.C.",German,432,8883,4,Tech Enthusiasts,08-03-2023
3846,Alpha Innovations,Social Media,Women 35-44,45 days,Facebook,4.276668981,9860,44.02,Atlanta,English,2840,92532,5,Health & Wellness,08-03-2023
3847,NexGen Systems,Email,Women 35-44,45 days,Google Ads,5.934980576,8872,53.57,Houston,English,2725,58997,4,Health & Wellness,08-03-2023
3848,NexGen Systems,Search,Women 35-44,15 days,Google Ads,5.832922519,4312,344.11,Seattle,Mandarin,3830,70934,4,Fashionistas,08-03-2023
3849,TechCorp,Social Media,Women 35-44,60 days,Email,5.972922519,3458,483.14,Dallas,Spanish,4033,72803,8,Health & Wellness,08-03-2023
3850,NexGen Systems,Display,Women 35-44,30 days,Google Ads,4.70650168,5641,48.91,New York,English,1680,28380,4,Fashionistas,08-03-2023
3851,Data Tech Solutions,Display,Men 18-24,60 days,YouTube,3.982922519,9713,-86.46,New York,German,263,7412,5,Tech Enthusiasts,08-03-2023
3852,Innovate Industries,Display,Women 35-44,15 days,Email,4.825142418,1805,39.34,Dallas,English,503,12462,4,Outdoor Adventurers,08-03-2023
3853,Data Tech Solutions,Email,Women 25-34,15 days,Facebook,4.437057484,7636,-13.04,Dallas,English,1328,27506,4,Fashionistas,08-03-2023
3854,TechCorp,Influencer,Women 25-34,45 days,Instagram,4.372922519,6740,62.61,"Washington, D.C.",Mandarin,2192,55635,4,Health & Wellness,08-03-2023
3855,NexGen Systems,Email,Women 35-44,30 days,Google Ads,4.902922519,8895,-44.07,Atlanta,Spanish,995,22263,4,Foodies,08-03-2023
3856,NexGen Systems,Social Media,Women 25-34,30 days,YouTube,4.682922519,7086,195.51,Los Angeles,German,4188,98559,5,Outdoor Adventurers,08-03-2023
3857,Data Tech Solutions,Search,Men 25-34,15 days,Facebook,6.172922519,3104,-70.52,Houston,Spanish,183,3196,4,Tech Enthusiasts,08-03-2023
3858,Innovate Industries,Influencer,Men 25-34,30 days,Email,6.162922519,7129,188.4,Miami,Spanish,4112,71763,4,Fashionistas,08-03-2023
3859,Alpha Innovations,Social Media,Women 25-34,15 days,YouTube,5.702922519,2243,424.74,Dallas,Spanish,2354,44673,5,Fashionistas,08-03-2023
3860,NexGen Systems,Search,Women 25-34,45 days,YouTube,5.732922519,1342,736.07,Seattle,Mandarin,2244,42346,4,Foodies,08-03-2023
3861,Alpha Innovations,Search,Women 25-34,30 days,YouTube,5.493975614,4918,49.76,Houston,English,1473,29121,4,Foodies,08-03-2023
3862,Innovate Industries,Email,Men 25-34,30 days,Facebook,4.122157943,4691,41.97,Seattle,English,1332,33076,5,Health & Wellness,08-03-2023
3863,NexGen Systems,Influencer,Women 25-34,15 days,Website,6.792922519,3224,601.3,Dallas,Spanish,4522,71104,5,Foodies,08-03-2023
3864,Innovate Industries,Display,Women 25-34,30 days,Google Ads,5.162922519,9467,-57.33,Dallas,Spanish,808,17089,4,Fashionistas,08-03-2023
3865,NexGen Systems,Email,Women 35-44,30 days,Instagram,6.502922519,8425,182.08,Seattle,German,4753,78315,4,Foodies,08-03-2023
3866,Innovate Industries,Search,Men 25-34,30 days,Instagram,6.332922519,8080,-68.13,Los Angeles,Spanish,515,8742,4,Foodies,08-03-2023
3867,TechCorp,Social Media,Men 18-24,15 days,Email,6.772922519,3204,537.95,Dallas,German,4088,64490,5,Tech Enthusiasts,08-03-2023
3868,Alpha Innovations,Email,Women 25-34,30 days,Facebook,6.602922519,5738,317.39,Los Angeles,Spanish,4790,77638,4,Fashionistas,08-03-2023
3869,NexGen Systems,Influencer,Men 25-34,30 days,YouTube,6.462922519,1133,2463.55,Miami,Spanish,5809,96340,5,Fashionistas,08-03-2023
3870,TechCorp,Influencer,Women 35-44,60 days,YouTube,4.992922519,4232,104.16,"Washington, D.C.",German,1728,37896,4,Outdoor Adventurers,08-03-2023
3871,Alpha Innovations,Search,Men 25-34,15 days,Google Ads,5.172922519,2478,122.56,Seattle,French,1103,23291,4,Health & Wellness,08-03-2023
3872,NexGen Systems,Search,Women 25-34,15 days,Instagram,4.482922519,3735,246.59,New York,Mandarin,2589,63934,4,Foodies,08-03-2023
3873,NexGen Systems,Social Media,Women 25-34,30 days,Facebook,4.282922519,9699,-67.57,Houston,Spanish,629,16358,5,Fashionistas,08-03-2023
3874,TechCorp,Email,Women 25-34,45 days,Facebook,4.224910685,4927,218.75,Seattle,English,3141,75698,4,Health & Wellness,08-03-2023
3875,Alpha Innovations,Search,Men 25-34,30 days,YouTube,4.962922519,7555,96.62,New York,Mandarin,2971,65605,4,Outdoor Adventurers,08-03-2023
3876,Alpha Innovations,Email,Women 25-34,30 days,Google Ads,3.852922519,1705,455.72,Dallas,Spanish,1895,55413,4,Fashionistas,08-03-2023
3877,TechCorp,Display,Women 25-34,60 days,Email,4.613589789,9209,-82.52,Atlanta,English,322,8263,4,Outdoor Adventurers,08-03-2023
3878,Data Tech Solutions,Email,Women 25-34,45 days,Google Ads,5.810094372,1241,-33.92,Dallas,English,164,3905,5,Tech Enthusiasts,08-03-2023
3879,NexGen Systems,Email,Women 35-44,45 days,Google Ads,5.392922519,9825,75.42,Dallas,Spanish,3447,69512,5,Outdoor Adventurers,08-03-2023
3880,Innovate Industries,Social Media,Men 18-24,45 days,Instagram,4.094684845,3180,411.64,Los Angeles,English,3254,77489,5,Tech Enthusiasts,08-03-2023
3881,TechCorp,Social Media,Men 18-24,30 days,YouTube,4.818034167,4205,431.15,Houston,English,4467,93267,5,Foodies,08-03-2023
3882,Data Tech Solutions,Display,Men 25-34,30 days,Email,4.352922519,7683,95.3,Chicago,German,3001,76578,5,Foodies,08-03-2023
3883,Alpha Innovations,Influencer,Men 18-24,15 days,Google Ads,5.594625088,5686,-79.51,Chicago,English,233,5326,5,Tech Enthusiasts,08-03-2023
3884,Alpha Innovations,Display,Women 35-44,30 days,Email,5.234925431,5610,1.87,New York,English,1143,29465,5,Fashionistas,08-03-2023
3885,NexGen Systems,Influencer,Women 25-34,15 days,Website,4.772922519,5628,59.03,San Francisco,Spanish,1790,41251,5,Tech Enthusiasts,08-03-2023
3886,Data Tech Solutions,Influencer,Men 18-24,45 days,YouTube,5.322922519,7319,85.34,Dallas,French,2713,55486,4,Outdoor Adventurers,08-03-2023
3887,NexGen Systems,Influencer,All Ages,30 days,Google Ads,5.332922519,3395,615.91,Los Angeles,Spanish,4861,99207,5,Tech Enthusiasts,08-03-2023
3888,Innovate Industries,Social Media,Women 35-44,30 days,YouTube,3.882922519,2458,587.75,"Washington, D.C.",German,3381,98022,5,Health & Wellness,08-03-2023
3889,Alpha Innovations,Social Media,Women 25-34,15 days,Website,4.772922519,7269,102.57,San Francisco,Spanish,2945,67871,5,Foodies,08-03-2023
3890,Innovate Industries,Email,Women 35-44,30 days,Facebook,4.272922519,1097,1382.68,Houston,French,3253,84716,5,Health & Wellness,08-03-2023
3891,Data Tech Solutions,Display,Women 25-34,45 days,Google Ads,4.672922519,8532,-61.91,Seattle,German,650,15350,4,Health & Wellness,08-03-2023
3892,NexGen Systems,Influencer,All Ages,15 days,YouTube,5.672982228,3572,259.6,Chicago,English,2569,81837,5,Health & Wellness,08-03-2023
3893,Data Tech Solutions,Search,Men 25-34,45 days,Google Ads,6.252922519,7687,189.38,Miami,Spanish,4449,76447,5,Foodies,08-03-2023
3894,Innovate Industries,Social Media,Women 25-34,15 days,YouTube,5.662922519,9123,125.47,Seattle,German,4114,78667,8,Health & Wellness,08-03-2023
3895,NexGen Systems,Social Media,Men 25-34,30 days,Google Ads,4.862922519,1302,436.1,Dallas,German,1396,31525,8,Foodies,08-03-2023
3896,TechCorp,Display,Men 25-34,45 days,Website,4.072922519,5314,219.82,San Francisco,Spanish,3399,93382,5,Health & Wellness,08-03-2023
3897,Innovate Industries,Display,Men 25-34,45 days,Instagram,3.952922519,7549,96.52,Atlanta,French,2967,84311,5,Tech Enthusiasts,08-03-2023
3898,NexGen Systems,Social Media,Women 35-44,15 days,Email,5.103986646,8576,53.39,Houston,English,2631,56119,8,Outdoor Adventurers,08-03-2023
3899,Data Tech Solutions,Search,Women 25-34,60 days,YouTube,4.232922519,7620,-19.03,Seattle,German,1234,32490,5,Health & Wellness,08-03-2023
3900,Alpha Innovations,Search,Men 25-34,30 days,Google Ads,5.839608805,6137,-90.88,Atlanta,English,112,3726,4,Tech Enthusiasts,08-03-2023
3901,Alpha Innovations,Email,All Ages,15 days,Email,4.682922519,8004,-5.23,Houston,French,1517,35695,5,Foodies,08-03-2023
3902,TechCorp,Search,Men 18-24,30 days,Website,5.472922519,3790,-42.74,Dallas,Spanish,434,8626,4,Fashionistas,08-03-2023
3903,NexGen Systems,Social Media,Men 25-34,30 days,Instagram,5.416798073,9580,-33.3,Seattle,English,1278,27080,5,Fashionistas,08-03-2023
3904,TechCorp,Email,Women 25-34,15 days,Website,5.14067322,8030,112.76,Dallas,English,3417,62600,5,Fashionistas,08-03-2023
3905,Alpha Innovations,Influencer,Women 25-34,15 days,Google Ads,4.932922519,9684,48.96,San Francisco,Spanish,2885,64132,5,Fashionistas,08-03-2023
3906,Innovate Industries,Influencer,Men 25-34,30 days,Google Ads,5.392922519,5500,344.91,Seattle,Spanish,4894,98686,4,Fashionistas,08-03-2023
3907,Data Tech Solutions,Display,Women 25-34,45 days,Email,5.362922519,5071,202.21,"Washington, D.C.",German,3065,62175,4,Foodies,08-03-2023
3908,TechCorp,Display,All Ages,45 days,Email,4.678480539,1223,1166.56,Chicago,English,3098,88795,5,Fashionistas,08-03-2023
3909,Data Tech Solutions,Social Media,Women 25-34,15 days,Email,5.226195561,6683,191.49,Miami,English,3896,89369,5,Outdoor Adventurers,08-03-2023
3910,Data Tech Solutions,Email,Women 25-34,45 days,Google Ads,3.662922519,6850,-3.5,Atlanta,Spanish,1322,40932,4,Outdoor Adventurers,08-03-2023
3911,NexGen Systems,Search,Men 25-34,45 days,Website,5.093329788,7298,-63.69,San Francisco,English,530,10049,4,Outdoor Adventurers,08-03-2023
3912,NexGen Systems,Influencer,Women 25-34,15 days,YouTube,5.283217562,2849,377.89,Los Angeles,English,2723,61608,4,Tech Enthusiasts,08-03-2023
3913,Innovate Industries,Search,Women 25-34,30 days,YouTube,4.412922519,4294,150.35,Los Angeles,Spanish,2150,54036,4,Outdoor Adventurers,08-03-2023
3914,Data Tech Solutions,Search,Women 35-44,30 days,Email,5.872922519,4131,287.8,"Washington, D.C.",Spanish,3204,58909,5,Tech Enthusiasts,08-03-2023
3915,TechCorp,Social Media,Women 35-44,15 days,Email,4.425658116,6587,-41.32,San Francisco,Spanish,773,19109,8,Outdoor Adventurers,09-03-2023
3916,NexGen Systems,Social Media,Women 25-34,15 days,Website,4.97348059,7315,113.74,Seattle,English,3127,63056,8,Health & Wellness,09-03-2023
3917,NexGen Systems,Email,Men 18-24,30 days,Email,5.195658116,3995,75.22,Dallas,German,1400,29054,4,Outdoor Adventurers,09-03-2023
3918,NexGen Systems,Search,All Ages,45 days,Website,4.855658116,1748,651.43,Houston,French,2627,58641,5,Health & Wellness,09-03-2023
3919,Alpha Innovations,Influencer,Women 25-34,30 days,YouTube,5.632789221,1169,784.94,Dallas,English,2069,69441,5,Tech Enthusiasts,09-03-2023
3920,TechCorp,Display,Women 35-44,30 days,Website,4.174911847,4736,186.32,Atlanta,English,2712,90419,5,Fashionistas,09-03-2023
3921,TechCorp,Influencer,All Ages,45 days,Google Ads,3.085658116,8992,-9.64,Miami,French,1625,59967,4,Foodies,09-03-2023
3922,TechCorp,Social Media,Women 25-34,45 days,Google Ads,3.855658116,5445,141.05,Atlanta,German,2625,75443,5,Health & Wellness,09-03-2023
3923,TechCorp,Display,Men 25-34,15 days,Google Ads,5.075658116,4696,308.01,San Francisco,German,3832,81550,4,Health & Wellness,09-03-2023
3924,TechCorp,Influencer,All Ages,30 days,YouTube,5.945658116,9724,-8.22,Atlanta,German,1785,32061,5,Foodies,09-03-2023
3925,NexGen Systems,Display,Men 18-24,30 days,Google Ads,5.315658116,1710,776.9,Houston,Mandarin,2999,60724,5,Outdoor Adventurers,09-03-2023
3926,TechCorp,Search,Women 35-44,15 days,Facebook,4.415658116,3635,18.84,Houston,French,864,21387,4,Outdoor Adventurers,09-03-2023
3927,Alpha Innovations,Search,Men 18-24,45 days,Google Ads,4.415658116,1736,735.54,New York,Spanish,2901,71820,5,Fashionistas,09-03-2023
3928,NexGen Systems,Influencer,Women 35-44,15 days,YouTube,5.265658116,9386,34.62,Miami,German,2527,51677,4,Tech Enthusiasts,09-03-2023
3929,TechCorp,Social Media,Women 35-44,15 days,Website,4.288866569,3383,451.73,Houston,English,3733,75738,5,Outdoor Adventurers,09-03-2023
3930,TechCorp,Display,Women 25-34,30 days,Facebook,4.905658116,8830,130.86,New York,German,4077,90012,5,Tech Enthusiasts,09-03-2023
3931,Innovate Industries,Email,Men 18-24,30 days,Google Ads,5.115658116,2671,339.35,Miami,French,2347,49534,4,Foodies,09-03-2023
3932,Innovate Industries,Email,All Ages,30 days,Facebook,5.215658116,3805,-79.76,"Washington, D.C.",Mandarin,154,3193,4,Outdoor Adventurers,09-03-2023
3933,Innovate Industries,Social Media,Women 25-34,30 days,Instagram,5.455096056,2465,1171.81,Chicago,English,6270,93724,5,Outdoor Adventurers,09-03-2023
3934,Alpha Innovations,Search,All Ages,15 days,Google Ads,6.535658116,2624,535.67,Dallas,French,3336,54163,5,Fashionistas,09-03-2023
3935,Data Tech Solutions,Email,All Ages,45 days,Facebook,3.975658116,8652,-72.55,Dallas,Spanish,475,13200,4,Tech Enthusiasts,09-03-2023
3936,Innovate Industries,Email,Women 25-34,30 days,Instagram,3.845658116,8028,105.47,Los Angeles,Mandarin,3299,95091,4,Tech Enthusiasts,09-03-2023
3937,TechCorp,Display,Women 25-34,30 days,Facebook,4.585767786,9983,-87.73,Chicago,English,245,6013,4,Tech Enthusiasts,09-03-2023
3938,Data Tech Solutions,Influencer,Women 25-34,60 days,Website,3.475658116,4020,115.67,"Washington, D.C.",French,1734,55961,5,Tech Enthusiasts,09-03-2023
3939,Innovate Industries,Email,Men 25-34,60 days,Facebook,4.755658116,4263,289.05,Seattle,German,3317,75741,5,Health & Wellness,09-03-2023
3940,Innovate Industries,Search,Men 18-24,45 days,Instagram,3.865658116,6732,138.71,Dallas,Mandarin,3214,92117,4,Fashionistas,09-03-2023
3941,Alpha Innovations,Search,Men 18-24,60 days,Google Ads,5.295658116,5927,-38.25,Dallas,Mandarin,732,14879,5,Foodies,09-03-2023
3942,Alpha Innovations,Email,Women 25-34,30 days,Google Ads,5.925658116,3630,-1.38,Dallas,Mandarin,716,12916,4,Outdoor Adventurers,09-03-2023
3943,NexGen Systems,Social Media,All Ages,30 days,Google Ads,4.223561425,9889,-11.32,"Washington, D.C.",English,1754,54832,5,Fashionistas,09-03-2023
3944,Alpha Innovations,Search,Women 25-34,30 days,Google Ads,5.721272293,8470,-63.05,San Francisco,English,626,14638,4,Health & Wellness,09-03-2023
3945,TechCorp,Display,All Ages,15 days,Facebook,3.435658116,4565,59.04,Los Angeles,German,1452,47482,5,Outdoor Adventurers,09-03-2023
3946,Data Tech Solutions,Email,Women 25-34,45 days,Email,3.074469685,6492,69.98,"Washington, D.C.",Mandarin,2207,81447,4,Foodies,10-03-2023
3947,Innovate Industries,Display,Women 25-34,30 days,Website,5.214469685,6449,14.2,Seattle,French,1473,30381,5,Foodies,10-03-2023
